HomeTeam,HomeScore,AwayTeam,AwayScore,LineProvider,OverUnder,Year,NormalizedSpread,BYU_Diff,TotalScore,Home,Cover,Over/Under,Win,Favored
BYU,45.0,Louisiana Tech,14.0,teamrankings,61.5,2020,24.0,31.0,59.0,True,True,-2.5,True,True
BYU,45.0,Louisiana Tech,14.0,numberfire,60.5,2020,24.5,31.0,59.0,True,True,-1.5,True,True
BYU,45.0,Louisiana Tech,14.0,consensus,61.0,2020,24.0,31.0,59.0,True,True,-2.0,True,True
BYU,45.0,Louisiana Tech,14.0,Caesars,61.0,2020,24.0,31.0,59.0,True,True,-2.0,True,True
BYU,45.0,Louisiana Tech,14.0,Bovada,62.0,2020,24.0,31.0,59.0,True,True,-3.0,True,True
BYU,48.0,Troy,7.0,Bovada,59.0,2020,14.5,41.0,55.0,True,True,-4.0,True,True
BYU,48.0,Troy,7.0,teamrankings,58.5,2020,14.5,41.0,55.0,True,True,-3.5,True,True
BYU,48.0,Troy,7.0,numberfire,58.5,2020,14.5,41.0,55.0,True,True,-3.5,True,True
BYU,48.0,Troy,7.0,consensus,58.5,2020,14.5,41.0,55.0,True,True,-3.5,True,True
BYU,48.0,Troy,7.0,Caesars,58.5,2020,14.5,41.0,55.0,True,True,-3.5,True,True
BYU,27.0,UTSA,20.0,teamrankings,63.5,2020,34.0,7.0,47.0,True,False,-16.5,True,True
BYU,27.0,UTSA,20.0,numberfire,63.5,2020,34.5,7.0,47.0,True,False,-16.5,True,True
BYU,27.0,UTSA,20.0,consensus,63.0,2020,34.0,7.0,47.0,True,False,-16.0,True,True
BYU,27.0,UTSA,20.0,Caesars,63.5,2020,34.0,7.0,47.0,True,False,-16.5,True,True
BYU,66.0,North Alabama,14.0,consensus,63.0,2020,50.0,52.0,80.0,True,True,17.0,True,True
Houston,26.0,BYU,43.0,teamrankings,62.0,2020,3.0,17.0,69.0,False,True,7.0,True,True
Houston,26.0,BYU,43.0,numberfire,62.5,2020,3.5,17.0,69.0,False,True,6.5,True,True
Houston,26.0,BYU,43.0,consensus,62.5,2020,3.0,17.0,69.0,False,True,6.5,True,True
Houston,26.0,BYU,43.0,SugarHouse,62.5,2020,3.5,17.0,69.0,False,True,6.5,True,True
Houston,26.0,BYU,43.0,Caesars,62.0,2020,3.0,17.0,69.0,False,True,7.0,True,True
Navy,3.0,BYU,55.0,teamrankings,48.5,2020,1.0,52.0,58.0,False,True,9.5,True,True
Navy,3.0,BYU,55.0,numberfire,48.5,2020,1.5,52.0,58.0,False,True,9.5,True,True
Navy,3.0,BYU,55.0,consensus,48.5,2020,1.0,52.0,58.0,False,True,9.5,True,True
Navy,3.0,BYU,55.0,Caesars,48.0,2020,1.5,52.0,58.0,False,True,10.0,True,True
Navy,3.0,BYU,55.0,Bovada,48.0,2020,1.0,52.0,58.0,False,True,10.0,True,True
BYU,52.0,Texas State,14.0,Bovada,61.5,2020,30.5,38.0,66.0,True,True,4.5,True,True
BYU,52.0,Texas State,14.0,teamrankings,62.0,2020,30.0,38.0,66.0,True,True,4.0,True,True
BYU,52.0,Texas State,14.0,numberfire,62.5,2020,29.5,38.0,66.0,True,True,3.5,True,True
BYU,52.0,Texas State,14.0,consensus,61.5,2020,30.0,38.0,66.0,True,True,4.5,True,True
BYU,52.0,Texas State,14.0,SugarHouse,61.5,2020,29.0,38.0,66.0,True,True,4.5,True,True
BYU,52.0,Texas State,14.0,Caesars,62.0,2020,30.0,38.0,66.0,True,True,4.0,True,True
BYU,41.0,Western Kentucky,10.0,teamrankings,52.0,2020,30.5,31.0,51.0,True,True,-1.0,True,True
BYU,41.0,Western Kentucky,10.0,numberfire,52.5,2020,30.5,31.0,51.0,True,True,-1.5,True,True
BYU,41.0,Western Kentucky,10.0,consensus,52.5,2020,31.0,31.0,51.0,True,False,-1.5,True,True
BYU,41.0,Western Kentucky,10.0,SugarHouse,52.5,2020,30.5,31.0,51.0,True,True,-1.5,True,True
BYU,41.0,Western Kentucky,10.0,Caesars,52.0,2020,31.0,31.0,51.0,True,False,-1.0,True,True
BYU,41.0,Western Kentucky,10.0,Bovada,,2020,28.5,31.0,51.0,True,True,,True,True
Boise State,17.0,BYU,51.0,teamrankings,62.5,2020,4.0,34.0,68.0,False,True,5.5,True,True
Boise State,17.0,BYU,51.0,numberfire,63.5,2020,4.5,34.0,68.0,False,True,4.5,True,True
Boise State,17.0,BYU,51.0,consensus,62.5,2020,4.5,34.0,68.0,False,True,5.5,True,True
Boise State,17.0,BYU,51.0,Caesars,62.5,2020,5.0,34.0,68.0,False,True,5.5,True,True
Boise State,17.0,BYU,51.0,Bovada,59.0,2020,3.0,34.0,68.0,False,True,9.0,True,True
Coastal Carolina,22.0,BYU,17.0,Bovada,53.5,2020,-11.0,-5.0,39.0,False,True,-14.5,False,False
Coastal Carolina,22.0,BYU,17.0,teamrankings,63.0,2020,10.0,-5.0,39.0,False,False,-24.0,False,True
Coastal Carolina,22.0,BYU,17.0,numberfire,62.5,2020,10.5,-5.0,39.0,False,False,-23.5,False,True
Coastal Carolina,22.0,BYU,17.0,consensus,62.5,2020,10.5,-5.0,39.0,False,False,-23.5,False,True
Coastal Carolina,22.0,BYU,17.0,Caesars,62.5,2020,10.5,-5.0,39.0,False,False,-23.5,False,True
BYU,28.0,San Diego State,14.0,Bovada,47.5,2020,17.0,14.0,42.0,True,False,-5.5,True,True
BYU,28.0,San Diego State,14.0,teamrankings,47.0,2020,16.5,14.0,42.0,True,False,-5.0,True,True
BYU,28.0,San Diego State,14.0,numberfire,47.5,2020,16.5,14.0,42.0,True,False,-5.5,True,True
BYU,28.0,San Diego State,14.0,consensus,47.5,2020,16.5,14.0,42.0,True,False,-5.5,True,True
